"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.45812500000E+009, -1.14376246001E+000, +0.00000000000E+000
+3.47000000000E+009, -1.14361973769E+000, +0.00000000000E+000
+3.48187500000E+009, -1.16160782467E+000, +0.00000000000E+000
+3.49375000000E+009, -1.14216401444E+000, +0.00000000000E+000
+3.50562500000E+009, -1.14453329658E+000, +0.00000000000E+000
+3.51750000000E+009, -1.12882250937E+000, +0.00000000000E+000
+3.52937500000E+009, -1.14066597711E+000, +0.00000000000E+000
+3.54125000000E+009, -1.12219064967E+000, +0.00000000000E+000
+3.55312500000E+009, -1.13401200596E+000, +0.00000000000E+000
+3.56500000000E+009, -1.13865661228E+000, +0.00000000000E+000
+3.57687500000E+009, -1.13934260126E+000, +0.00000000000E+000
+3.58875000000E+009, -1.13887283930E+000, +0.00000000000E+000
+3.60062500000E+009, -1.14037223160E+000, +0.00000000000E+000
+3.61250000000E+009, -1.14738168404E+000, +0.00000000000E+000
+3.62437500000E+009, -1.13482163537E+000, +0.00000000000E+000
+3.63625000000E+009, -1.13160654995E+000, +0.00000000000E+000
+3.64812500000E+009, -1.14551622939E+000, +0.00000000000E+000
+3.66000000000E+009, -1.14336079464E+000, +0.00000000000E+000
+3.67187500000E+009, -1.13858200250E+000, +0.00000000000E+000
+3.68375000000E+009, -1.12916274508E+000, +0.00000000000E+000
+3.69562500000E+009, -1.13037342318E+000, +0.00000000000E+000
+3.70750000000E+009, -1.12304886874E+000, +0.00000000000E+000
+3.71937500000E+009, -1.12635330155E+000, +0.00000000000E+000
+3.73125000000E+009, -1.12250586676E+000, +0.00000000000E+000
+3.74312500000E+009, -1.12882128415E+000, +0.00000000000E+000
+3.75500000000E+009, -1.12780117654E+000, +0.00000000000E+000
+3.76687500000E+009, -1.13065973978E+000, +0.00000000000E+000
+3.77875000000E+009, -1.13006958525E+000, +0.00000000000E+000
+3.79062500000E+009, -1.12692556664E+000, +0.00000000000E+000
+3.80250000000E+009, -1.13580124916E+000, +0.00000000000E+000
+3.81437500000E+009, -1.12725809083E+000, +0.00000000000E+000
+3.82625000000E+009, -1.10840504510E+000, +0.00000000000E+000
+3.83812500000E+009, -1.10779910398E+000, +0.00000000000E+000
+3.85000000000E+009, -1.09202211286E+000, +0.00000000000E+000
+3.86187500000E+009, -1.10432620425E+000, +0.00000000000E+000
+3.87375000000E+009, -1.09422701135E+000, +0.00000000000E+000
+3.88562500000E+009, -1.10214050936E+000, +0.00000000000E+000
+3.89750000000E+009, -1.11173945716E+000, +0.00000000000E+000
+3.90937500000E+009, -1.12258778114E+000, +0.00000000000E+000
+3.92125000000E+009, -1.13565978803E+000, +0.00000000000E+000
+3.93312500000E+009, -1.16721271903E+000, +0.00000000000E+000
+3.94500000000E+009, -1.17905388563E+000, +0.00000000000E+000
