"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.47250000000E+009, -4.47545106813E-001, +0.00000000000E+000
+2.48437500000E+009, -4.60986521873E-001, +0.00000000000E+000
+2.49625000000E+009, -4.30195024766E-001, +0.00000000000E+000
+2.50812500000E+009, -4.53534749929E-001, +0.00000000000E+000
+2.52000000000E+009, -4.45995577656E-001, +0.00000000000E+000
+2.53187500000E+009, -4.51126523950E-001, +0.00000000000E+000
+2.54375000000E+009, -4.58360364880E-001, +0.00000000000E+000
+2.55562500000E+009, -4.51705485013E-001, +0.00000000000E+000
+2.56750000000E+009, -4.63971742489E-001, +0.00000000000E+000
+2.57937500000E+009, -4.61529628563E-001, +0.00000000000E+000
+2.59125000000E+009, -4.65168199749E-001, +0.00000000000E+000
+2.60312500000E+009, -4.58671312973E-001, +0.00000000000E+000
+2.61500000000E+009, -4.58489728043E-001, +0.00000000000E+000
+2.62687500000E+009, -4.69677172934E-001, +0.00000000000E+000
+2.63875000000E+009, -4.60883793527E-001, +0.00000000000E+000
+2.65062500000E+009, -4.61717323973E-001, +0.00000000000E+000
+2.66250000000E+009, -4.33649639484E-001, +0.00000000000E+000
+2.67437500000E+009, -4.50501596793E-001, +0.00000000000E+000
+2.68625000000E+009, -4.31678567633E-001, +0.00000000000E+000
+2.69812500000E+009, -4.33695698655E-001, +0.00000000000E+000
+2.71000000000E+009, -4.27211476396E-001, +0.00000000000E+000
+2.72187500000E+009, -4.43265521832E-001, +0.00000000000E+000
+2.73375000000E+009, -4.40827674264E-001, +0.00000000000E+000
+2.74562500000E+009, -4.60293655490E-001, +0.00000000000E+000
+2.75750000000E+009, -4.56820360815E-001, +0.00000000000E+000
+2.76937500000E+009, -4.75291853548E-001, +0.00000000000E+000
+2.78125000000E+009, -5.05541767409E-001, +0.00000000000E+000
+2.79312500000E+009, -5.15411566651E-001, +0.00000000000E+000
+2.80500000000E+009, -5.18289580614E-001, +0.00000000000E+000
+2.81687500000E+009, -5.37602041384E-001, +0.00000000000E+000
+2.82875000000E+009, -5.24440817880E-001, +0.00000000000E+000
+2.84062500000E+009, -5.25328247538E-001, +0.00000000000E+000
+2.85250000000E+009, -5.27452674376E-001, +0.00000000000E+000
+2.86437500000E+009, -5.27610822485E-001, +0.00000000000E+000
+2.87625000000E+009, -4.96273565593E-001, +0.00000000000E+000
+2.88812500000E+009, -5.14370023777E-001, +0.00000000000E+000
+2.90000000000E+009, -4.95784246339E-001, +0.00000000000E+000
+2.91187500000E+009, -4.97648336492E-001, +0.00000000000E+000
+2.92375000000E+009, -4.94458511874E-001, +0.00000000000E+000
+2.93562500000E+009, -4.71529047043E-001, +0.00000000000E+000
+2.94750000000E+009, -4.93185840282E-001, +0.00000000000E+000
+2.95937500000E+009, -4.73773410511E-001, +0.00000000000E+000
+2.97125000000E+009, -4.86176450631E-001, +0.00000000000E+000
+2.98312500000E+009, -4.70350094687E-001, +0.00000000000E+000
+2.99500000000E+009, -4.59073470842E-001, +0.00000000000E+000
+3.00687500000E+009, -4.65150057366E-001, +0.00000000000E+000
+3.01875000000E+009, -4.79909658307E-001, +0.00000000000E+000
+3.03062500000E+009, -4.74920764943E-001, +0.00000000000E+000
+3.04250000000E+009, -4.86328510569E-001, +0.00000000000E+000
+3.05437500000E+009, -4.92384340399E-001, +0.00000000000E+000
+3.06625000000E+009, -5.12088655103E-001, +0.00000000000E+000
+3.07812500000E+009, -5.12954179757E-001, +0.00000000000E+000
+3.09000000000E+009, -5.20783390763E-001, +0.00000000000E+000
+3.10187500000E+009, -5.23242436034E-001, +0.00000000000E+000
+3.11375000000E+009, -5.41570317944E-001, +0.00000000000E+000
+3.12562500000E+009, -5.35285068745E-001, +0.00000000000E+000
+3.13750000000E+009, -5.34445256142E-001, +0.00000000000E+000
+3.14937500000E+009, -5.45297744016E-001, +0.00000000000E+000
+3.16125000000E+009, -5.60485927292E-001, +0.00000000000E+000
+3.17312500000E+009, -5.49324592053E-001, +0.00000000000E+000
+3.18500000000E+009, -5.47922080746E-001, +0.00000000000E+000
+3.19687500000E+009, -5.35882386805E-001, +0.00000000000E+000
+3.20875000000E+009, -5.44692080340E-001, +0.00000000000E+000
+3.22062500000E+009, -5.44613461293E-001, +0.00000000000E+000
+3.23250000000E+009, -5.45459011942E-001, +0.00000000000E+000
+3.24437500000E+009, -5.40962291988E-001, +0.00000000000E+000
+3.25625000000E+009, -5.42973752713E-001, +0.00000000000E+000
+3.26812500000E+009, -5.53909496331E-001, +0.00000000000E+000
+3.28000000000E+009, -5.51406706449E-001, +0.00000000000E+000
+3.29187500000E+009, -5.35652903409E-001, +0.00000000000E+000
+3.30375000000E+009, -5.41132688218E-001, +0.00000000000E+000
+3.31562500000E+009, -5.41570829807E-001, +0.00000000000E+000
+3.32750000000E+009, -5.52393370071E-001, +0.00000000000E+000
+3.33937500000E+009, -5.41357082073E-001, +0.00000000000E+000
